AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4118.33333306, 4127.56410229, 4126.79487152, 4116.41025614, 4099.61538427, 4127.94871767, 4122.43589716, 4106.15384588, 4111.02564075, 4114.99999973, 4136.28205108, 4123.46153819, 4124.10256383, 4122.94871767,0
4110.38461511, 4140.51282031, 4128.84615357, 4121.92307665, 4110.89743562, 4135.64102544, 4131.66666639, 4115.25640998, 4116.92307665, 4117.17948691, 4143.58974339, 4122.82051255, 4126.92307665, 4120.38461511,0
4119.74358947, 4127.05128178, 4125.38461511, 4126.79487152, 4138.84615364, 4130.51282024, 4122.43589716, 4117.82051255, 4121.53846126, 4123.20512793, 4131.02564075, 4115.51282024, 4112.82051255, 4125.64102537,0
4114.99999973, 4113.71794844, 4118.20512793, 4123.97435870, 4142.69230749, 4132.43589716, 4114.48717921, 4113.07692280, 4116.02564075, 4122.43589716, 4120.12820485, 4110.12820485, 4104.23076896, 4120.64102537,0
4101.79487145, 4116.28205101, 4120.38461511, 4113.46153819, 4133.07692280, 4135.64102544, 4119.99999973, 4115.25640998, 4117.43589716, 4118.71794844, 4128.07692280, 4117.94871767, 4112.56410229, 4114.35897408,0
4116.15384588, 4118.33333306, 4126.53846126, 4113.97435870, 4124.10256383, 4136.15384595, 4129.61538434, 4123.97435870, 4123.97435870, 4122.43589716, 4134.48717921, 4126.66666639, 4125.12820485, 4123.33333306,0
4129.23076896, 4132.30769203, 4135.38461518, 4132.05128178, 4134.35897408, 4151.66666646, 4143.20512800, 4138.46153826, 4136.79487159, 4143.58974339, 4145.25641005, 4133.07692280, 4140.25641005, 4128.20512793,0
4118.07692280, 4147.05128185, 4141.15384595, 4138.07692287, 4147.05128185, 4153.97435877, 4146.41025621, 4145.51282031, 4148.20512800, 4158.84615364, 4160.76923056, 4139.23076903, 4146.66666646, 4121.79487152,0
4118.84615357, 4129.35897408, 4130.38461511, 4123.46153819, 4130.64102537, 4118.46153819, 4126.92307665, 4133.71794844, 4136.66666646, 4150.64102544, 4155.51282031, 4134.23076896, 4137.30769210, 4123.33333306,0
4125.12820485, 4116.28205101, 4122.30769203, 4118.07692280, 4121.53846126, 4108.20512793, 4111.02564075, 4123.33333306, 4122.05128178, 4139.35897415, 4147.69230749, 4128.46153819, 4133.58974332, 4118.46153819,0
4120.76923050, 4134.23076896, 4136.53846133, 4133.33333306, 4136.15384595, 4136.79487159, 4122.30769203, 4130.38461511, 4130.25640998, 4138.58974339, 4155.64102544, 4137.43589723, 4145.51282031, 4109.87179460,0
4124.87179460, 4141.92307672, 4147.30769210, 4139.23076903, 4130.12820485, 4144.48717928, 4140.89743569, 4135.64102544, 4136.53846133, 4135.64102544, 4151.53846133, 4143.33333313, 4144.74358954, 4117.30769203,0
4122.56410229, 4128.84615357, 4134.61538434, 4124.61538434, 4113.84615357, 4128.58974332, 4138.46153826, 4120.25640998, 4119.61538434, 4123.20512793, 4132.94871767, 4129.87179460, 4123.97435870, 4118.84615357,0
4108.07692280, 4121.15384588, 4122.05128178, 4120.38461511, 4125.12820485, 4124.74358947, 4124.61538434, 4105.25640998, 4108.46153819, 4116.02564075, 4130.38461511, 4115.25640998, 4107.56410229, 4114.74358947,0
4110.51282024, 4126.66666639, 4127.17948691, 4133.20512793, 4141.15384595, 4132.30769203, 4118.20512793, 4113.33333306, 4113.97435870, 4117.56410229, 4135.89743569, 4118.33333306, 4106.02564075, 4120.76923050,0
4118.46153819, 4133.20512793, 4134.35897408, 4134.99999973, 4135.25640998, 4134.23076896, 4122.43589716, 4122.43589716, 4119.48717921, 4115.76923050, 4133.07692280, 4127.17948691, 4114.10256383, 4120.25640998,0
4109.61538434, 4127.56410229, 4128.20512793, 4123.97435870, 4114.48717921, 4124.35897408, 4124.48717921, 4114.10256383, 4117.94871767, 4111.66666639, 4133.46153819, 4122.94871767, 4116.41025614, 4114.48717921,0
4113.46153819, 4125.51282024, 4124.35897408, 4120.38461511, 4103.33333306, 4115.25640998, 4120.12820485, 4110.25640998, 4117.94871767, 4115.38461511, 4138.20512800, 4116.79487152, 4118.33333306, 4121.92307665,0
4121.28205101, 4133.46153819, 4132.94871767, 4125.12820485, 4127.05128178, 4125.89743562, 4119.35897408, 4121.66666639, 4126.41025614, 4126.28205101, 4144.74358954, 4127.05128178, 4129.99999973, 4118.71794844,0
4117.82051255, 4130.64102537, 4135.64102544, 4123.71794844, 4137.30769210, 4139.48717928, 4124.87179460, 4128.33333306, 4132.17948691, 4134.61538434, 4149.48717928, 4138.58974339, 4136.53846133, 4111.53846126,0
4123.71794844, 4123.20512793, 4130.12820485, 4117.56410229, 4102.69230742, 4132.82051255, 4134.48717921, 4127.69230742, 4132.05128178, 4139.23076903, 4149.87179467, 4137.56410236, 4136.53846133, 4122.94871767,0
4127.82051255, 4131.66666639, 4130.64102537, 4121.66666639, 4105.89743562, 4130.25640998, 4142.30769210, 4132.30769203, 4135.38461518, 4139.87179467, 4150.76923056, 4136.66666646, 4138.07692287, 4123.46153819,0
4119.74358947, 4135.12820485, 4131.53846126, 4128.58974332, 4143.97435877, 4143.84615364, 4141.53846133, 4135.76923056, 4136.53846133, 4140.64102544, 4148.71794851, 4132.30769203, 4132.43589716, 4114.74358947,0
4118.33333306, 4122.82051255, 4126.28205101, 4121.15384588, 4133.07692280, 4146.02564082, 4138.20512800, 4133.71794844, 4129.74358947, 4143.20512800, 4141.53846133, 4123.46153819, 4130.89743562, 4119.35897408,0
4123.20512793, 4129.99999973, 4129.74358947, 4118.58974332, 4111.53846126, 4134.48717921, 4152.30769210, 4139.35897415, 4135.89743569, 4138.20512800, 4141.02564082, 4128.58974332, 4146.92307672, 4116.15384588,0
