AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
3817.30769141, 3690.89743472, 3928.20512751, 3909.23076854, 3935.76923008, 3889.23076847, 3980.64102509, 4046.79487138, 4137.05128185, 3943.46153784, 4039.61538420, 3491.92307533, 3867.69230686, 4141.28205108,0
3808.97435807, 3665.64102439, 3908.46153777, 3878.71794796, 3911.28205059, 3860.76922994, 3963.33333271, 4035.38461490, 4137.05128185, 3921.02564033, 4021.41025593, 3466.02563936, 3843.97435814, 4142.17948697,0
3790.38461442, 3643.97435773, 3888.58974283, 3856.28205045, 3893.20512744, 3838.58974269, 3954.10256348, 4018.58974311, 4129.48717921, 3898.20512744, 4008.07692259, 3446.79487013, 3832.82051192, 4138.71794851,0
3783.33333236, 3617.82051150, 3866.92307609, 3826.53846064, 3862.30769148, 3823.97435807, 3945.51281989, 4004.48717900, 4120.12820485, 3871.41025558, 3982.05128150, 3424.35897263, 3818.46153756, 4142.17948697,0
3776.92307595, 3589.23076784, 3843.07692225, 3792.56410160, 3835.25640936, 3798.71794775, 3928.33333264, 3986.53846099, 4113.84615357, 3844.48717866, 3952.82051220, 3392.94871615, 3775.25640929, 4144.74358954,0
3758.20512717, 3572.82051137, 3823.97435807, 3773.46153742, 3823.58974269, 3764.10256306, 3898.97435821, 3962.94871733, 4105.76923050, 3821.02564013, 3933.20512751, 3367.05128018, 3731.28205017, 4140.25641005,0
3752.82051178, 3557.69230624, 3804.48717852, 3745.89743486, 3796.15384518, 3736.15384505, 3867.17948635, 3941.66666605, 4094.61538427, 3792.30769134, 3908.33333264, 3341.92307498, 3710.51281940, 4139.10256390,0
3742.30769127, 3534.61538309, 3776.28205031, 3708.46153728, 3758.07692204, 3721.66666556, 3851.92307609, 3923.46153777, 4087.82051248, 3762.56410153, 3876.92307616, 3310.38461337, 3687.56410139, 4138.71794851,0
3717.05128094, 3500.25640866, 3742.43589640, 3676.92307575, 3730.89743479, 3697.82051164, 3838.33333243, 3902.82051206, 4078.71794837, 3728.71794761, 3846.28205045, 3270.38461330, 3640.89743458, 4137.69230749,0
3703.46153728, 3468.07692141, 3722.43589633, 3652.17948593, 3708.46153728, 3658.46153721, 3808.71794782, 3887.94871719, 4069.61538420, 3698.58974241, 3825.12820423, 3243.07692093, 3611.66666535, 4135.89743569,0
