AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4020.89743541, 4061.41025600, 4066.28205087, 4076.02564068, 4091.92307658, 4086.02564068, 4082.43589709, 4097.94871761, 4105.76923050, 4095.64102530, 4085.38461504, 4074.48717914, 4060.51282010, 4120.76923050,0
4027.94871747, 4076.28205094, 4074.99999966, 4083.33333299, 4076.92307658, 4092.56410222, 4098.84615350, 4110.76923050, 4110.25640998, 4111.66666639, 4089.35897402, 4081.53846119, 4089.10256376, 4122.43589716,0
4030.76923029, 4087.69230735, 4072.17948684, 4084.99999966, 4086.15384581, 4105.89743562, 4090.51282017, 4108.58974332, 4109.87179460, 4089.87179453, 4079.61538427, 4074.35897402, 4071.41025607, 4126.28205101,0
4020.12820465, 4085.64102530, 4066.92307651, 4080.25640991, 4088.07692273, 4099.87179453, 4076.41025607, 4100.89743555, 4107.05128178, 4088.97435863, 4086.79487145, 4067.94871754, 4051.02564061, 4118.07692280,0
4024.35897388, 4070.38461504, 4062.69230728, 4068.46153805, 4062.43589702, 4074.61538427, 4074.61538427, 4088.58974325, 4100.89743555, 4104.99999973, 4086.79487145, 4062.05128164, 4061.92307651, 4125.12820485,0
4024.23076875, 4072.43589709, 4068.71794830, 4072.69230735, 4074.10256376, 4085.64102530, 4093.07692273, 4094.48717914, 4106.02564075, 4108.71794844, 4084.48717914, 4069.48717907, 4082.05128171, 4119.87179460,0
4023.84615336, 4068.46153805, 4068.97435856, 4074.87179453, 4099.23076889, 4105.76923050, 4105.38461511, 4104.23076896, 4107.94871767, 4098.84615350, 4088.07692273, 4073.20512786, 4082.69230735, 4120.89743562,0
4028.20512772, 4060.51282010, 4058.33333292, 4060.51282010, 4094.48717914, 4101.41025607, 4101.02564068, 4092.43589709, 4102.43589709, 4096.28205094, 4091.28205094, 4060.25640984, 4069.87179453, 4126.66666639,0
4021.53846106, 4063.33333292, 4059.99999959, 4058.46153805, 4092.05128171, 4110.76923050, 4106.53846126, 4090.38461504, 4106.53846126, 4106.28205101, 4091.53846119, 4060.12820472, 4075.38461504, 4117.17948691,0
4032.69230721, 4051.92307651, 4065.25640984, 4056.02564061, 4083.58974325, 4116.15384588, 4117.69230742, 4107.05128178, 4110.25640998, 4100.51282017, 4076.66666632, 4065.89743548, 4091.28205094, 4127.82051255,0
