AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
3971.66666611, 3982.05128150, 3966.41025579, 3948.20512758, 3967.94871733, 3967.69230707, 3956.53846092, 3980.25640970, 3980.25640970, 3967.17948656, 3950.25640963, 3961.53846092, 3961.28205066, 4110.89743562,0
3979.87179432, 4001.02564047, 3986.28205073, 3971.28205073, 3976.28205073, 3981.79487124, 3966.02564040, 3985.25640970, 3991.79487124, 3982.69230714, 3977.05128150, 3982.69230714, 3980.25640970, 4109.61538434,0
3983.97435842, 4022.56410208, 4005.12820465, 3995.51281996, 3991.41025586, 4001.53846099, 3982.30769176, 3995.38461483, 4005.51282003, 4005.64102516, 3999.99999945, 4004.48717900, 4010.12820465, 4108.33333306,0
3992.30769176, 4021.66666618, 4006.28205080, 3992.43589688, 3985.89743535, 3999.61538406, 3989.61538406, 4002.05128150, 4007.82051234, 4010.51282003, 3998.20512765, 4007.43589695, 4016.28205080, 4115.51282024,0
3994.61538406, 4022.94871747, 4012.17948670, 3991.53846099, 3984.87179432, 4005.64102516, 4000.38461483, 4013.58974311, 4013.84615336, 4021.92307644, 4006.79487131, 4015.51282003, 4021.92307644, 4111.79487152,0
3997.30769176, 4029.10256362, 4018.84615336, 4000.25640970, 4006.53846106, 4020.76923029, 4007.94871747, 4019.48717900, 4019.35897388, 4028.84615336, 4013.46153798, 4020.38461490, 4031.15384567, 4109.87179460,0
4001.92307637, 4020.64102516, 4013.07692259, 3996.15384560, 4014.99999952, 4021.41025593, 4008.07692259, 4015.38461490, 4017.17948670, 4021.92307644, 4004.61538413, 4013.33333285, 4027.94871747, 4116.53846126,0
3992.82051227, 4000.12820458, 3999.10256355, 3975.64102509, 3992.56410201, 4008.84615336, 4001.92307637, 4013.46153798, 4012.30769183, 4019.74358926, 3994.99999945, 4002.30769176, 4018.33333285, 4117.69230742,0
3980.64102509, 3993.20512765, 3989.35897381, 3967.05128143, 3978.20512765, 3998.20512765, 3994.87179432, 4011.28205080, 4009.23076875, 4011.92307644, 3991.79487124, 3993.07692252, 4012.56410208, 4114.10256383,0
3992.17948663, 4012.69230721, 4000.64102509, 3985.51281996, 3992.82051227, 4008.46153798, 4004.99999952, 4014.23076875, 4015.89743541, 4011.92307644, 4000.64102509, 4002.94871740, 4018.33333285, 4115.89743562,0
4006.28205080, 4041.02564061, 4023.84615336, 4015.51282003, 4014.99999952, 4035.25640977, 4027.30769183, 4024.61538413, 4027.43589695, 4044.99999959, 4021.15384567, 4027.05128157, 4031.79487131, 4118.97435870,0
4008.46153798, 4066.79487138, 4038.71794830, 4041.79487138, 4032.94871747, 4047.17948677, 4039.23076882, 4029.48717900, 4033.46153798, 4076.92307658, 4038.58974318, 4038.58974318, 4047.30769189, 4116.79487152,0
4011.41025593, 4074.74358940, 4041.53846113, 4045.64102523, 4035.12820465, 4039.23076882, 4037.43589702, 4026.28205080, 4033.33333285, 4073.20512786, 4047.05128164, 4037.82051241, 4064.99999959, 4119.35897408,0
3998.97435842, 4052.82051241, 4028.97435849, 4027.56410208, 4020.89743541, 4032.82051234, 4026.28205080, 4019.61538413, 4025.64102516, 4051.02564061, 4040.89743548, 4026.92307644, 4058.84615343, 4114.23076896,0
3986.28205073, 4033.20512772, 4011.02564054, 4011.92307644, 4016.41025593, 4029.35897388, 4013.07692259, 4012.30769183, 4014.99999952, 4032.05128157, 4020.38461490, 4008.58974311, 4028.20512772, 4107.30769203,0
3998.97435842, 4044.61538420, 4012.56410208, 4011.66666618, 4023.33333285, 4026.92307644, 4012.43589695, 4011.53846106, 4015.38461490, 4024.99999952, 4008.07692259, 4004.35897388, 4017.56410208, 4113.97435870,0
4000.51281996, 4049.61538420, 4019.10256362, 4016.28205080, 4017.82051234, 4026.79487131, 4012.69230721, 4011.28205080, 4016.15384567, 4018.58974311, 4002.56410201, 4004.74358926, 4018.07692259, 4114.87179460,0
3983.46153791, 4033.58974311, 4009.87179439, 4017.05128157, 4006.02564054, 4023.20512772, 4002.56410201, 4005.25640977, 4007.43589695, 4006.28205080, 3996.53846099, 3993.97435842, 4004.48717900, 4108.58974332,0
3991.53846099, 4050.64102523, 4019.23076875, 4034.23076875, 4022.30769183, 4031.41025593, 4015.25640977, 4008.71794824, 4012.43589695, 4018.71794824, 4014.23076875, 4006.02564054, 4020.51282003, 4112.05128178,0
4010.89743541, 4080.76923043, 4045.89743548, 4058.71794830, 4046.66666625, 4050.38461497, 4039.48717907, 4019.74358926, 4026.53846106, 4048.97435856, 4037.82051241, 4034.61538413, 4058.71794830, 4117.43589716,0
4002.30769176, 4060.76923036, 4041.15384574, 4051.53846113, 4036.66666618, 4044.48717907, 4029.99999952, 4015.38461490, 4019.74358926, 4043.58974318, 4027.05128157, 4032.05128157, 4049.61538420, 4114.23076896,0
3990.64102509, 4031.66666618, 4018.58974311, 4031.02564054, 4012.17948670, 4024.74358926, 4011.02564054, 4008.46153798, 4006.02564054, 4016.41025593, 4006.02564054, 4009.61538413, 4019.10256362, 4112.05128178,0
4000.64102509, 4041.66666625, 4020.25640977, 4034.48717900, 4015.64102516, 4028.07692259, 4018.97435849, 4015.76923029, 4011.66666618, 4018.07692259, 4012.30769183, 4011.28205080, 4026.79487131, 4118.58974332,0
3998.84615329, 4044.99999959, 4022.43589695, 4036.66666618, 4026.92307644, 4035.25640977, 4022.94871747, 4013.58974311, 4015.25640977, 4023.46153798, 4016.02564054, 4017.82051234, 4034.61538413, 4117.94871767,0
3985.89743535, 4022.30769183, 4002.43589688, 4020.38461490, 4012.69230721, 4022.56410208, 4006.28205080, 3998.84615329, 4001.28205073, 3997.82051227, 3994.23076868, 3997.05128150, 4006.92307644, 4111.02564075,0
3989.23076868, 4017.43589695, 3996.79487124, 4024.48717900, 4004.61538413, 4012.56410208, 3999.10256355, 3996.28205073, 3995.12820458, 3975.89743535, 3982.17948663, 3984.23076868, 3988.58974304, 4116.79487152,0
3994.10256355, 4036.66666618, 4011.79487131, 4046.66666625, 4020.51282003, 4021.02564054, 4004.61538413, 3999.48717894, 4002.17948663, 3983.33333278, 3990.25640970, 3997.94871740, 4003.71794817, 4117.17948691,0
4001.66666611, 4057.94871754, 4027.05128157, 4054.35897395, 4032.17948670, 4033.58974311, 4010.12820465, 3998.84615329, 4006.15384567, 3996.92307637, 4001.15384560, 4012.43589695, 4018.97435849, 4113.20512793,0
4011.79487131, 4074.87179453, 4049.10256369, 4066.28205087, 4037.30769189, 4045.64102523, 4019.23076875, 4006.53846106, 4014.87179439, 4011.92307644, 4022.43589695, 4031.41025593, 4029.35897388, 4115.76923050,0
4013.71794824, 4077.82051248, 4065.38461497, 4081.92307658, 4049.87179446, 4055.25640984, 4027.43589695, 4017.30769183, 4030.51282003, 4036.92307651, 4046.15384574, 4053.07692266, 4061.02564061, 4112.43589716,0
4018.20512772, 4065.25640984, 4050.64102523, 4066.41025600, 4049.48717907, 4045.12820472, 4022.43589695, 4014.99999952, 4026.53846106, 4035.38461490, 4040.38461497, 4044.35897395, 4075.64102530, 4117.94871767,0
4017.94871747, 4061.66666625, 4037.94871754, 4047.05128164, 4040.51282010, 4036.28205080, 4021.53846106, 4016.41025593, 4017.30769183, 4018.20512772, 4027.94871747, 4026.15384567, 4049.35897395, 4120.64102537,0
4015.38461490, 4073.97435863, 4052.17948677, 4058.71794830, 4049.48717907, 4056.79487138, 4041.53846113, 4033.84615336, 4029.61538413, 4028.97435849, 4036.66666618, 4033.07692259, 4038.46153805, 4116.53846126,0
4021.28205080, 4079.61538427, 4054.35897395, 4074.87179453, 4059.99999959, 4075.12820478, 4057.82051241, 4041.02564061, 4037.82051241, 4039.10256369, 4038.07692266, 4037.94871754, 4048.84615343, 4121.02564075,0
4016.92307644, 4073.20512786, 4038.20512779, 4071.41025607, 4054.99999959, 4068.20512779, 4055.51282010, 4030.76923029, 4031.15384567, 4030.38461490, 4023.97435849, 4026.79487131, 4048.07692266, 4117.82051255,0
4011.02564054, 4066.15384574, 4040.38461497, 4064.35897395, 4045.76923036, 4064.10256369, 4051.41025600, 4027.43589695, 4030.51282003, 4029.10256362, 4016.92307644, 4027.05128157, 4052.30769189, 4116.02564075,0
4021.02564054, 4067.56410215, 4052.69230728, 4070.89743555, 4048.33333292, 4068.07692266, 4050.12820472, 4031.41025593, 4035.12820465, 4036.53846106, 4022.94871747, 4035.12820465, 4056.53846113, 4122.43589716,0
4021.53846106, 4072.43589709, 4044.87179446, 4075.12820478, 4047.30769189, 4056.66666625, 4036.41025593, 4022.17948670, 4026.79487131, 4030.51282003, 4027.94871747, 4029.87179439, 4036.41025593, 4121.66666639,0
4009.10256362, 4077.82051248, 4041.41025600, 4077.56410222, 4040.12820472, 4047.30769189, 4025.12820465, 4012.17948670, 4020.25640977, 4028.97435849, 4034.74358926, 4031.53846106, 4036.66666618, 4115.76923050,0
4027.30769183, 4083.33333299, 4060.76923036, 4089.10256376, 4048.71794830, 4053.58974318, 4032.05128157, 4017.82051234, 4029.23076875, 4042.05128164, 4049.48717907, 4047.43589702, 4069.35897395, 4123.07692280,0
4037.43589702, 4081.92307658, 4070.12820478, 4089.87179453, 4054.61538420, 4051.79487138, 4033.97435849, 4023.07692259, 4033.07692259, 4043.33333292, 4051.92307651, 4051.41025600, 4077.05128171, 4121.15384588,0
4016.15384567, 4082.30769196, 4059.74358933, 4074.99999966, 4042.43589702, 4046.41025600, 4032.05128157, 4023.46153798, 4028.33333285, 4036.92307651, 4038.33333292, 4042.56410215, 4060.76923036, 4112.82051255,0
