AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4148.20512800, 4108.84615357, 4113.58974332, 4122.56410229, 4114.61538434, 4095.38461504, 4092.69230735, 4107.05128178, 4103.84615357, 4065.12820472, 4076.92307658, 4111.66666639, 4061.53846113, 4126.53846126,0
4140.89743569, 4104.99999973, 4111.28205101, 4113.97435870, 4106.02564075, 4103.20512793, 4105.12820485, 4111.66666639, 4111.79487152, 4077.05128171, 4080.64102530, 4114.87179460, 4066.92307651, 4121.53846126,0
4147.69230749, 4109.35897408, 4115.89743562, 4112.82051255, 4109.35897408, 4110.89743562, 4111.66666639, 4110.25640998, 4115.25640998, 4081.53846119, 4083.20512786, 4122.05128178, 4066.92307651, 4124.23076896,0
4154.61538441, 4108.84615357, 4116.41025614, 4112.17948691, 4113.84615357, 4107.82051255, 4107.69230742, 4116.15384588, 4116.53846126, 4081.02564068, 4085.25640991, 4122.17948691, 4063.33333292, 4126.02564075,0
4145.12820492, 4106.92307665, 4113.33333306, 4113.58974332, 4113.20512793, 4105.51282024, 4109.74358947, 4124.87179460, 4122.05128178, 4092.82051248, 4094.61538427, 4121.79487152, 4069.99999966, 4119.23076896,0
4145.51282031, 4102.56410229, 4108.97435870, 4109.87179460, 4103.46153819, 4100.51282017, 4108.33333306, 4118.58974332, 4118.20512793, 4088.33333299, 4086.28205094, 4112.94871767, 4068.07692266, 4126.28205101,0
4155.89743569, 4108.97435870, 4118.97435870, 4109.48717921, 4099.74358940, 4104.61538434, 4110.51282024, 4119.23076896, 4121.66666639, 4085.51282017, 4084.74358940, 4114.99999973, 4068.84615343, 4129.99999973,0
4147.69230749, 4124.23076896, 4129.99999973, 4122.05128178, 4116.41025614, 4116.79487152, 4116.53846126, 4128.84615357, 4132.17948691, 4102.30769196, 4103.33333306, 4130.25640998, 4083.84615350, 4114.61538434,0
4140.64102544, 4126.92307665, 4126.53846126, 4133.84615357, 4129.35897408, 4112.05128178, 4109.61538434, 4126.53846126, 4128.20512793, 4101.41025607, 4102.56410229, 4130.38461511, 4085.89743555, 4115.12820485,0
4153.07692287, 4129.23076896, 4132.56410229, 4143.71794851, 4125.38461511, 4103.46153819, 4104.35897408, 4125.12820485, 4124.48717921, 4090.89743555, 4096.79487145, 4131.79487152, 4078.07692273, 4128.20512793,0
4150.76923056, 4136.79487159, 4145.51282031, 4150.38461518, 4123.71794844, 4107.30769203, 4110.12820485, 4125.51282024, 4129.10256383, 4096.28205094, 4108.97435870, 4146.28205108, 4084.10256376, 4121.66666639,0
4141.28205108, 4125.12820485, 4131.66666639, 4129.99999973, 4115.51282024, 4100.89743555, 4098.58974325, 4107.56410229, 4115.64102537, 4083.33333299, 4100.76923043, 4134.74358947, 4081.02564068, 4120.76923050,0
4150.38461518, 4114.23076896, 4114.48717921, 4115.89743562, 4105.64102537, 4093.97435863, 4088.07692273, 4097.43589709, 4102.30769196, 4060.76923036, 4080.89743555, 4115.89743562, 4070.64102530, 4131.28205101,0
4155.89743569, 4127.43589716, 4127.69230742, 4138.46153826, 4118.20512793, 4107.69230742, 4108.20512793, 4118.71794844, 4121.15384588, 4081.02564068, 4097.56410222, 4135.51282031, 4085.25640991, 4125.12820485,0
4150.76923056, 4126.92307665, 4135.12820485, 4144.35897415, 4123.46153819, 4110.89743562, 4115.25640998, 4129.87179460, 4133.20512793, 4102.30769196, 4112.05128178, 4149.23076903, 4093.58974325, 4119.61538434,0
4150.25641005, 4111.79487152, 4123.33333306, 4124.35897408, 4113.46153819, 4102.17948684, 4100.64102530, 4117.94871767, 4121.92307665, 4090.51282017, 4100.51282017, 4131.53846126, 4081.28205094, 4126.28205101,0
4148.46153826, 4116.02564075, 4123.97435870, 4123.33333306, 4114.48717921, 4105.51282024, 4104.74358947, 4121.02564075, 4124.23076896, 4089.23076889, 4102.05128171, 4126.66666639, 4081.02564068, 4123.84615357,0
4148.71794851, 4121.02564075, 4129.48717921, 4129.48717921, 4117.05128178, 4109.74358947, 4119.74358947, 4135.76923056, 4135.38461518, 4099.61538427, 4110.76923050, 4136.41025621, 4088.46153812, 4120.51282024,0
