ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,Label
4162.30769210, 4159.35897415, 4109.10256383, 4129.87179460, 4165.76923056, 4167.94871774, 4253.33333334, 4182.05128192, 4284.10256418, 4212.43589737, 4276.41025648, 4251.79487180, 4372.56410285, 4228.20512814,2.0
4168.20512807, 4189.48717935, 4247.05128206, 4252.05128206, 4194.35897422, 4214.35897429, 4210.64102558, 4079.61538427, 4219.10256404, 4193.33333320, 4185.51282038, 4153.71794851, 4177.82051269, 4049.87179446,
4203.97435891, 4151.53846133, 4105.64102537, 4095.38461504, 4143.20512800, 4132.43589716, 4131.66666639, 4191.79487166, 4238.33333334, 4232.30769224, 4238.33333334, 4193.46153833, 4242.05128206, 4186.28205115,
4136.15384595, 4184.87179474, 4197.17948704, 4200.76923063, 4192.56410243, 4197.30769217, 4172.56410243, 4138.84615364, 4138.84615364, 4147.17948697, 4165.12820492, 4185.38461525, 4233.97435898, 4119.74358947,
4198.97435884, 4177.05128192, 4178.84615371, 4179.23076910, 4170.89743576, 4149.74358954, 4168.20512807, 4096.28205094, 4060.51282010, 4136.28205108, 4072.69230735, 4108.84615357, 4212.17948711, 4182.43589730,
4165.89743569, 4156.79487159, 4090.64102530, 4105.12820485, 4160.51282031, 4158.33333313, 4192.56410243, 4189.35897422, 4299.87179501, 4218.20512814, 4285.12820520, 4240.89743590, 4375.25641054, 4297.82051289,1
4167.17948697, 4191.66666653, 4240.89743590, 4248.71794872, 4202.94871788, 4235.64102564, 4189.48717935, 4075.64102530, 4218.71794865, 4177.30769217, 4199.99999986, 4176.53846140, 4191.28205115, 4089.23076889
4207.56410250, 4161.79487159, 4105.38461511, 4102.30769196, 4153.84615364, 4141.28205108, 4163.46153826, 4168.58974345, 4210.76923070, 4217.69230763, 4224.48717942, 4201.15384609, 4230.51282045, 4171.92307679
4131.02564075, 4186.02564089, 4178.58974345, 4185.38461525, 4192.05128192, 4163.71794851, 4198.33333320, 4140.38461518, 4145.12820492, 4168.71794858, 4171.41025628, 4183.07692294, 4243.71794872, 4128.20512793
4197.82051269, 4173.84615371, 4186.92307679, 4186.28205115, 4172.82051269, 4119.99999973, 4203.84615378, 4081.92307658, 4068.33333292, 4143.46153826, 4062.56410215, 4104.35897408, 4197.17948704, 4169.99999986
4177.05128192, 4152.56410236, 4076.53846119, 4107.56410229, 4155.12820492, 4143.58974339, 4212.43589737, 4191.02564089, 4312.94871809, 4214.23076917, 4286.53846161, 4263.20512821, 4369.61538490, 4289.35897443,3
4159.48717928, 4194.10256397, 4230.76923070, 4271.92307700, 4197.69230756, 4222.94871788, 4175.12820499, 4107.17948691, 4214.87179481, 4181.79487166, 4213.71794865, 4195.38461525, 4216.15384609, 4079.61538427
4209.99999993, 4156.79487159, 4111.79487152, 4123.46153819, 4141.53846133, 4112.30769203, 4175.12820499, 4189.35897422, 4186.15384602, 4222.56410250, 4198.58974345, 4187.94871781, 4241.79487180, 4148.58974339
4138.58974339, 4177.94871781, 4169.74358961, 4170.12820499, 4180.76923063, 4181.92307679, 4209.23076917, 4142.56410236, 4168.07692287, 4171.66666653, 4163.46153826, 4191.92307679, 4259.10256411, 4131.28205101
4191.79487166, 4182.94871781, 4198.58974345, 4199.74358961, 4178.46153833, 4180.76923063, 4160.12820492, 4059.35897395, 4086.92307658, 4139.48717928, 4062.82051241, 4097.05128171, 4178.71794858, 4157.30769210
4181.02564089, 4154.48717928, 4067.30769189, 4111.66666639, 4151.53846133, 4158.71794851, 4176.79487166, 4199.61538448, 4316.15384630, 4215.89743583, 4297.05128212, 4241.92307693, 4348.71794893, 4270.25641033,4
4162.30769210, 4194.99999986, 4223.58974352, 4279.35897443, 4201.41025634, 4239.23076923, 4170.64102551, 4116.02564075, 4209.48717942, 4173.20512807, 4226.28205122, 4189.99999986, 4216.53846147, 4051.28205087
4213.07692301, 4163.20512800, 4127.43589716, 4143.84615364, 4150.89743569, 4123.58974332, 4123.97435870, 4164.74358954, 4172.30769217, 4214.35897429, 4192.94871781, 4177.05128192, 4241.53846154, 4145.25641005
4132.43589716, 4177.30769217, 4189.35897422, 4167.17948697, 4176.41025628, 4157.17948697, 4145.51282031, 4145.89743569, 4184.61538448, 4178.58974345, 4172.69230756, 4197.94871781, 4281.66666674, 4171.92307679
4183.71794858, 4186.92307679, 4247.05128206, 4213.33333327, 4177.56410243, 4181.66666653, 4159.35897415, 4064.87179446, 4063.71794830, 4127.30769203, 4042.69230728, 4088.46153812, 4173.58974345, 4147.05128185
4185.25641012, 4153.20512800, 4074.99999966, 4111.02564075, 4144.61538441, 4161.79487159, 4199.87179474, 4207.30769224, 4280.64102571, 4206.92307686, 4282.30769238, 4228.84615378, 4339.35897457, 4242.69230770,5
4150.51282031, 4184.74358961, 4214.87179481, 4282.94871802, 4193.58974345, 4226.41025634, 4163.07692287, 4112.69230742, 4215.38461532, 4165.76923056, 4235.00000000, 4194.99999986, 4218.07692301, 4043.07692266
4214.87179481, 4156.66666646, 4143.97435877, 4165.64102544, 4150.38461518, 4117.30769203, 4103.20512793, 4141.66666646, 4164.23076903, 4197.94871781, 4174.10256397, 4160.12820492, 4219.10256404, 4149.61538441
4147.17948697, 4176.92307679, 4179.87179474, 4167.56410236, 4179.23076910, 4154.74358954, 4188.97435884, 4149.74358954, 4196.15384602, 4187.17948704, 4182.30769217, 4190.64102551, 4282.56410264, 4186.66666653
