ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,Label
4182.82051269, 4178.97435884, 4181.66666653, 4271.41025648, 4179.48717935, 4182.69230756, 4183.20512807, 4121.66666639, 4047.56410215, 4118.71794844, 4078.07692273, 4116.02564075, 4127.56410229, 4035.38461490,2.0
4178.71794858, 4146.92307672, 4134.61538434, 4160.25641005, 4154.87179467, 4157.82051262, 4179.87179474, 4168.71794858, 4192.82051269, 4192.43589730, 4196.66666653, 4212.56410250, 4267.43589751, 4178.58974345,
4161.79487159, 4170.89743576, 4244.35897436, 4236.15384616, 4186.02564089, 4223.46153840, 4163.84615364, 4147.30769210, 4229.35897429, 4183.71794858, 4237.69230770, 4205.64102558, 4257.69230770, 4108.07692280,
4206.79487173, 4167.94871774, 4172.43589730, 4148.58974339, 4158.20512800, 4175.64102551, 4151.41025621, 4197.17948704, 4183.46153833, 4192.56410243, 4205.12820506, 4169.87179474, 4250.25641026, 4155.76923056,
4158.33333313, 4181.02564089, 4192.43589730, 4151.92307672, 4180.76923063, 4191.28205115, 4181.28205115, 4132.94871767, 4181.66666653, 4188.46153833, 4165.89743569, 4178.84615371, 4239.35897436, 4163.84615364,
4178.46153833, 4176.41025628, 4242.82051282, 4200.12820499, 4183.71794858, 4170.64102551, 4165.64102544, 4018.46153798, 4187.69230756, 4178.20512807, 4132.43589716, 4116.92307665, 4145.38461518, 4149.35897415,1
4179.48717935, 4153.46153826, 4099.61538427, 4137.43589723, 4153.33333313, 4116.66666639, 4203.07692301, 4157.43589723, 4338.33333355, 4205.64102558, 4310.25641040, 4191.92307679, 4274.10256418, 4205.89743583
4151.79487159, 4193.20512807, 4164.48717928, 4266.92307700, 4194.99999986, 4168.84615371, 4220.76923070, 4143.20512800, 4172.82051269, 4128.84615357, 4186.53846140, 4149.48717928, 4243.33333334, 4029.74358926
4198.84615371, 4169.61538448, 4142.30769210, 4205.25641019, 4167.30769210, 4107.30769203, 4163.46153826, 4126.79487152, 4070.12820478, 4144.61538441, 4082.69230735, 4133.33333306, 4258.20512821, 4091.28205094
4158.46153826, 4161.02564082, 4171.41025628, 4178.71794858, 4171.02564089, 4127.05128178, 4199.74358961, 4166.02564082, 4235.89743590, 4193.33333320, 4242.05128206, 4232.05128199, 4332.56410278, 4176.41025628
4181.53846140, 4183.33333320, 4242.56410257, 4230.51282045, 4184.35897422, 4182.05128192, 4212.69230763, 4156.02564082, 4187.43589730, 4175.64102551, 4209.74358968, 4178.07692294, 4217.82051275, 4102.05128171,3
4193.07692294, 4165.51282031, 4138.07692287, 4114.23076896, 4158.46153826, 4162.94871774, 4158.33333313, 4205.12820506, 4195.64102551, 4200.38461525, 4206.66666660, 4196.15384602, 4268.20512828, 4183.97435884
4147.43589723, 4188.84615371, 4235.51282052, 4188.71794858, 4193.20512807, 4211.66666660, 4167.43589723, 4051.41025600, 4166.41025621, 4169.87179474, 4133.46153819, 4158.71794851, 4197.82051269, 4132.05128178
4196.53846140, 4171.79487166, 4180.89743576, 4167.17948697, 4163.20512800, 4156.28205108, 4195.38461525, 4061.28205087, 4243.20512821, 4194.61538448, 4203.33333327, 4154.87179467, 4191.66666653, 4173.46153833
4167.82051262, 4165.38461518, 4099.74358940, 4185.25641012, 4164.23076903, 4169.23076910, 4183.84615371, 4207.56410250, 4330.51282066, 4197.30769217, 4331.66666681, 4226.28205122, 4276.15384623, 4152.30769210
4176.66666653, 4185.89743576, 4185.25641012, 4273.46153853, 4189.61538448, 4197.05128192, 4144.87179467, 4133.97435870, 4110.89743562, 4133.07692280, 4126.41025614, 4121.02564075, 4157.43589723, 4042.56410215,4
4198.58974345, 4160.76923056, 4127.56410229, 4152.05128185, 4157.43589723, 4142.94871774, 4183.71794858, 4152.82051262, 4163.71794851, 4188.84615371, 4158.97435877, 4182.30769217, 4259.23076923, 4176.66666653
4155.51282031, 4183.33333320, 4219.10256404, 4219.74358968, 4188.84615371, 4215.89743583, 4219.87179481, 4149.87179467, 4253.20512821, 4190.12820499, 4252.43589744, 4233.58974352, 4293.71794879, 4115.89743562
4197.94871781, 4181.79487166, 4193.07692294, 4191.28205115, 4175.76923063, 4189.74358961, 4174.35897422, 4177.43589730, 4176.92307679, 4183.07692294, 4202.05128199, 4173.46153833, 4240.38461539, 4106.53846126
4169.23076910, 4175.38461525, 4135.12820485, 4123.33333306, 4174.87179474, 4181.53846140, 4178.97435884, 4182.17948704, 4193.84615371, 4197.56410243, 4191.53846140, 4202.82051275, 4277.94871802, 4179.10256397
4166.66666646, 4188.46153833, 4219.35897429, 4201.92307686, 4193.33333320, 4210.38461532, 4166.53846133, 4046.41025600, 4174.10256397, 4172.94871781, 4127.69230742, 4146.53846133, 4163.07692287, 4142.17948697,5
4190.38461525, 4157.94871774, 4096.15384581, 4135.38461518, 4153.20512800, 4137.56410236, 4159.35897415, 4148.71794851, 4311.92307707, 4215.76923070, 4295.25641033, 4193.97435884, 4252.17948718, 4235.51282052
4144.87179467, 4185.51282038, 4141.41025621, 4241.41025641, 4189.35897422, 4188.58974345, 4199.61538448, 4169.99999986, 4241.53846154, 4167.17948697, 4268.58974366, 4186.79487166, 4258.33333334, 4093.46153812
4194.23076910, 4181.28205115, 4176.53846140, 4230.38461532, 4178.20512807, 4176.79487166, 4187.17948704, 4111.92307665, 4074.23076889, 4148.20512800, 4082.30769196, 4120.89743562, 4206.15384609, 4058.84615343
